id,label
40001,1
40002,0
40003,1
40004,1
40005,1
40006,1
40007,1
40008,1
40009,1
40010,0
40011,1
40012,1
40013,1
40014,1
40015,1
40016,1
40017,1
40018,1
40019,0
40020,1
40021,1
40022,0
40023,1
40024,1
40025,1
40026,0
40027,1
40028,1
40029,1
40030,1
40031,1
40032,1
40033,0
40034,1
40035,0
40036,1
40037,1
40038,1
40039,1
40040,1
40041,1
40042,0
40043,1
40044,1
40045,1
40046,1
40047,1
40048,1
40049,0
40050,1
40051,0
40052,1
40053,0
40054,1
40055,0
40056,1
40057,0
40058,1
40059,1
40060,1
40061,1
40062,1
40063,1
40064,0
40065,1
40066,0
40067,0
40068,1
40069,1
40070,0
40071,1
40072,1
40073,1
40074,0
40075,1
40076,1
40077,1
40078,0
40079,1
40080,1
40081,1
40082,1
40083,1
40084,1
40085,0
40086,1
40087,1
40088,0
40089,1
40090,1
40091,1
40092,1
40093,1
40094,0
40095,1
40096,1
40097,0
40098,1
40099,1
40100,1
40101,0
40102,0
40103,1
40104,1
40105,1
40106,1
40107,1
40108,0
40109,1
40110,0
40111,1
40112,1
40113,0
40114,1
40115,1
40116,1
40117,1
40118,1
40119,1
40120,1
40121,1
40122,1
40123,1
40124,0
40125,1
40126,0
40127,1
40128,1
40129,1
40130,1
40131,1
40132,1
40133,1
40134,1
40135,1
40136,1
40137,1
40138,1
40139,1
40140,1
40141,0
40142,1
40143,1
40144,1
40145,0
40146,1
40147,0
40148,1
40149,0
40150,1
40151,1
40152,1
40153,1
40154,1
40155,1
40156,1
40157,1
40158,1
40159,1
40160,1
40161,1
40162,1
40163,1
40164,1
40165,1
40166,1
40167,1
40168,1
40169,1
40170,1
40171,1
40172,1
40173,1
40174,0
40175,1
40176,1
40177,1
40178,1
40179,0
40180,1
40181,1
40182,1
40183,1
40184,0
40185,1
40186,1
40187,0
40188,1
40189,0
40190,0
40191,1
40192,1
40193,1
40194,1
40195,0
40196,1
40197,1
40198,1
40199,1
40200,1
40201,1
40202,1
40203,1
40204,1
40205,0
40206,0
40207,1
40208,0
40209,1
40210,1
40211,1
40212,1
40213,1
40214,1
40215,1
40216,1
40217,1
40218,1
40219,1
40220,1
40221,1
40222,1
40223,1
40224,1
40225,0
40226,1
40227,1
40228,0
40229,1
40230,1
40231,0
40232,1
40233,0
40234,0
40235,0
40236,1
40237,1
40238,1
40239,1
40240,1
40241,1
40242,1
40243,1
40244,1
40245,1
40246,0
40247,1
40248,0
40249,0
40250,0
40251,1
40252,1
40253,0
40254,1
40255,1
40256,1
40257,1
40258,0
40259,1
40260,1
40261,1
40262,0
40263,0
40264,1
40265,1
40266,1
40267,1
40268,1
40269,1
40270,1
40271,1
40272,1
40273,1
40274,1
40275,1
40276,0
40277,1
40278,0
40279,1
40280,1
40281,0
40282,1
40283,0
40284,1
40285,1
40286,1
40287,1
40288,1
40289,1
40290,1
40291,0
40292,1
40293,1
40294,1
40295,1
40296,0
40297,1
40298,1
40299,0
40300,1
40301,0
40302,1
40303,0
40304,1
40305,1
40306,1
40307,0
40308,1
40309,1
40310,1
40311,1
40312,1
40313,1
40314,1
40315,1
40316,0
40317,1
40318,1
40319,1
40320,1
40321,1
40322,0
40323,1
40324,1
40325,1
40326,1
40327,1
40328,1
40329,1
40330,0
40331,1
40332,1
40333,1
40334,1
40335,1
40336,1
40337,1
40338,0
40339,1
40340,0
40341,1
40342,1
40343,1
40344,1
40345,1
40346,1
40347,1
40348,1
40349,1
40350,1
40351,1
40352,1
40353,1
40354,1
40355,1
40356,0
40357,1
40358,1
40359,0
40360,1
40361,1
40362,1
40363,0
40364,1
40365,1
40366,1
40367,1
40368,1
40369,1
40370,1
40371,1
40372,0
40373,1
40374,1
40375,1
40376,1
40377,1
40378,1
40379,1
40380,1
40381,1
40382,1
40383,0
40384,1
40385,1
40386,1
40387,1
40388,0
40389,1
40390,1
40391,1
40392,1
40393,0
40394,1
40395,1
40396,1
40397,1
40398,1
40399,1
40400,0
40401,0
40402,1
40403,1
40404,1
40405,0
40406,0
40407,1
40408,1
40409,1
40410,1
40411,1
40412,1
40413,1
40414,1
40415,1
40416,1
40417,1
40418,1
40419,0
40420,1
40421,0
40422,1
40423,0
40424,0
40425,0
40426,0
40427,1
40428,0
40429,1
40430,1
40431,1
40432,1
40433,0
40434,1
40435,1
40436,1
40437,1
40438,1
40439,0
40440,1
40441,0
40442,1
40443,1
40444,0
40445,1
40446,1
40447,1
40448,1
40449,1
40450,1
40451,1
40452,0
40453,1
40454,0
40455,1
40456,0
40457,1
40458,1
40459,1
40460,0
40461,1
40462,1
40463,1
40464,1
40465,1
40466,1
40467,0
40468,1
40469,1
40470,1
40471,1
40472,0
40473,0
40474,1
40475,1
40476,1
40477,1
40478,1
40479,1
40480,1
40481,1
40482,1
40483,1
40484,1
40485,1
40486,1
40487,1
40488,1
40489,1
40490,1
40491,0
40492,1
40493,1
40494,1
40495,1
40496,1
40497,1
40498,1
40499,1
40500,1
40501,1
40502,1
40503,1
40504,1
40505,1
40506,1
40507,1
40508,1
40509,1
40510,0
40511,1
40512,1
40513,1
40514,1
40515,0
40516,1
40517,1
40518,1
40519,0
40520,1
40521,1
40522,1
40523,1
40524,0
40525,1
40526,0
40527,1
40528,1
40529,1
40530,0
40531,0
40532,1
40533,0
40534,1
40535,1
40536,0
40537,1
40538,0
40539,1
40540,1
40541,0
40542,1
40543,1
40544,1
40545,0
40546,1
40547,1
40548,1
40549,1
40550,1
40551,1
40552,1
40553,1
40554,1
40555,1
40556,1
40557,1
40558,1
40559,1
40560,1
40561,1
40562,0
40563,1
40564,1
40565,1
40566,1
40567,1
40568,1
40569,1
40570,1
40571,1
40572,1
40573,1
40574,1
40575,1
40576,1
40577,0
40578,1
40579,1
40580,1
40581,0
40582,1
40583,1
40584,0
40585,1
40586,0
40587,1
40588,1
40589,0
40590,0
40591,1
40592,1
40593,1
40594,0
40595,0
40596,0
40597,1
40598,0
40599,1
40600,1
40601,1
40602,1
40603,1
40604,1
40605,1
40606,1
40607,1
40608,0
40609,1
40610,1
40611,1
40612,1
40613,1
40614,1
40615,0
40616,1
40617,0
40618,1
40619,1
40620,1
40621,1
40622,0
40623,1
40624,1
40625,0
40626,1
40627,1
40628,1
40629,1
40630,0
40631,0
40632,0
40633,0
40634,1
40635,1
40636,0
40637,1
40638,0
40639,1
40640,1
40641,0
40642,1
40643,0
40644,1
40645,1
40646,1
40647,0
40648,1
40649,0
40650,1
40651,1
40652,0
40653,1
40654,1
40655,1
40656,1
40657,1
40658,1
40659,0
40660,1
40661,1
40662,0
40663,1
40664,1
40665,1
40666,1
40667,1
40668,0
40669,0
40670,0
40671,0
40672,1
40673,1
40674,1
40675,0
40676,0
40677,1
40678,1
40679,1
40680,1
40681,1
40682,0
40683,1
40684,1
40685,1
40686,1
40687,0
40688,1
40689,0
40690,0
40691,0
40692,1
40693,1
40694,0
40695,1
40696,0
40697,1
40698,1
40699,1
40700,1
40701,1
40702,0
40703,1
40704,1
40705,1
40706,1
40707,1
40708,1
40709,1
40710,1
40711,1
40712,1
40713,1
40714,1
40715,1
40716,1
40717,0
40718,1
40719,0
40720,1
40721,1
40722,1
40723,1
40724,1
40725,0
40726,0
40727,1
40728,1
40729,0
40730,0
40731,0
40732,1
40733,1
40734,0
40735,1
40736,1
40737,1
40738,0
40739,1
40740,1
40741,1
40742,1
40743,0
40744,1
40745,1
40746,1
40747,1
40748,1
40749,0
40750,0
40751,1
40752,1
40753,0
40754,0
40755,1
40756,1
40757,1
40758,1
40759,1
40760,1
40761,1
40762,0
40763,1
40764,1
40765,0
40766,1
40767,1
40768,1
40769,1
40770,1
40771,1
40772,1
40773,1
40774,1
40775,0
40776,1
40777,0
40778,1
40779,0
40780,1
40781,1
40782,1
40783,1
40784,1
40785,0
40786,1
40787,1
40788,0
40789,1
40790,0
40791,1
40792,1
40793,1
40794,1
40795,1
40796,0
40797,1
40798,0
40799,1
40800,0
40801,1
40802,1
40803,1
40804,1
40805,1
40806,0
40807,1
40808,1
40809,1
40810,1
40811,0
40812,1
40813,0
40814,1
40815,1
40816,0
40817,0
40818,1
40819,1
40820,0
40821,1
40822,1
40823,1
40824,1
40825,1
40826,1
40827,1
40828,1
40829,0
40830,1
40831,1
40832,1
40833,0
40834,1
40835,1
40836,1
40837,1
40838,0
40839,1
40840,1
40841,1
40842,1
40843,0
40844,1
40845,1
40846,1
40847,1
40848,1
40849,0
40850,1
40851,1
40852,1
40853,0
40854,1
40855,1
40856,1
40857,1
40858,1
40859,1
40860,1
40861,1
40862,1
40863,0
40864,1
40865,1
40866,1
40867,0
40868,1
40869,1
40870,0
40871,1
40872,1
40873,0
40874,0
40875,1
40876,1
40877,1
40878,1
40879,1
40880,1
40881,1
40882,1
40883,1
40884,1
40885,1
40886,1
40887,1
40888,0
40889,1
40890,1
40891,0
40892,1
40893,1
40894,1
40895,1
40896,1
40897,1
40898,1
40899,1
40900,1
40901,1
40902,1
40903,0
40904,1
40905,1
40906,1
40907,1
40908,1
40909,0
40910,1
40911,1
40912,1
40913,1
40914,1
40915,0
40916,0
40917,1
40918,1
40919,1
40920,1
40921,1
40922,1
40923,1
40924,1
40925,1
40926,1
40927,1
40928,1
40929,1
40930,0
40931,0
40932,0
40933,1
40934,0
40935,1
40936,1
40937,1
40938,1
40939,1
40940,1
40941,0
40942,1
40943,1
40944,1
40945,1
40946,1
40947,1
40948,1
40949,1
40950,1
40951,1
40952,1
40953,1
40954,1
40955,1
40956,0
40957,0
40958,1
40959,1
40960,0
40961,0
40962,1
40963,1
40964,1
40965,1
40966,1
40967,1
40968,1
40969,1
40970,1
40971,1
40972,1
40973,1
40974,1
40975,1
40976,0
40977,0
40978,1
40979,1
40980,1
40981,1
40982,0
40983,1
40984,0
40985,1
40986,0
40987,1
40988,1
40989,0
40990,1
40991,1
40992,1
40993,1
40994,1
40995,1
40996,0
40997,1
40998,1
40999,1
41000,1
41001,1
41002,1
41003,1
41004,1
41005,1
41006,1
41007,1
41008,1
41009,1
41010,1
41011,1
41012,1
41013,0
41014,1
41015,1
41016,1
41017,1
41018,1
41019,0
41020,1
41021,1
41022,1
41023,1
41024,0
41025,1
41026,1
41027,1
41028,1
41029,1
41030,1
41031,0
41032,1
41033,1
41034,1
41035,1
41036,1
41037,1
41038,1
41039,0
41040,1
41041,1
41042,0
41043,1
41044,1
41045,0
41046,0
41047,1
41048,1
41049,1
41050,1
41051,0
41052,1
41053,1
41054,1
41055,1
41056,1
41057,1
41058,1
41059,1
41060,1
41061,0
41062,1
41063,1
41064,1
41065,1
41066,1
41067,0
41068,1
41069,1
41070,1
41071,0
41072,0
41073,0
41074,1
41075,1
41076,1
41077,1
41078,0
41079,0
41080,0
41081,1
41082,1
41083,1
41084,0
41085,1
41086,1
41087,0
41088,1
41089,1
41090,0
41091,1
41092,1
41093,0
41094,1
41095,1
41096,1
41097,1
41098,0
41099,1
41100,1
41101,1
41102,1
41103,0
41104,1
41105,1
41106,1
41107,1
41108,1
41109,1
41110,0
41111,0
41112,1
41113,0
41114,0
41115,1
41116,1
41117,1
41118,1
41119,0
41120,1
41121,1
41122,0
41123,1
41124,0
41125,1
41126,0
41127,1
41128,1
41129,0
41130,0
41131,1
41132,1
41133,1
41134,1
41135,1
41136,1
41137,0
41138,1
41139,0
41140,1
41141,1
41142,1
41143,1
41144,0
41145,1
41146,1
41147,1
41148,1
41149,0
41150,1
41151,0
41152,1
41153,1
41154,0
41155,1
41156,0
41157,0
41158,1
41159,1
41160,1
41161,1
41162,1
41163,1
41164,1
41165,0
41166,1
41167,1
41168,0
41169,1
41170,0
41171,1
41172,1
41173,1
41174,0
41175,1
41176,1
41177,1
41178,1
41179,1
41180,0
41181,0
41182,1
41183,1
41184,1
41185,1
41186,1
41187,0
41188,1
41189,1
41190,1
41191,1
41192,1
41193,1
41194,1
41195,1
41196,1
41197,1
41198,1
41199,0
41200,0
41201,1
41202,0
41203,1
41204,1
41205,0
41206,0
41207,1
41208,1
41209,1
41210,0
41211,1
41212,1
41213,0
41214,1
41215,0
41216,1
41217,0
41218,0
41219,1
41220,0
41221,1
41222,1
41223,1
41224,1
41225,1
41226,1
41227,1
41228,1
41229,1
41230,1
41231,0
41232,1
41233,1
41234,1
41235,1
41236,0
41237,1
41238,1
41239,0
41240,0
41241,0
41242,1
41243,0
41244,1
41245,1
41246,1
41247,1
41248,1
41249,1
41250,1
41251,0
41252,0
41253,1
41254,0
41255,0
41256,1
41257,1
41258,1
41259,1
41260,1
41261,1
41262,1
41263,1
41264,1
41265,1
41266,0
41267,1
41268,0
41269,1
41270,1
41271,0
41272,1
41273,1
41274,1
41275,1
41276,1
41277,1
41278,1
41279,0
41280,1
41281,1
41282,1
41283,1
41284,0
41285,0
41286,1
41287,1
41288,0
41289,1
41290,0
41291,1
41292,1
41293,1
41294,1
41295,1
41296,1
41297,0
41298,0
41299,1
41300,1
41301,1
41302,1
41303,1
41304,1
41305,1
41306,1
41307,1
41308,1
41309,1
41310,1
41311,1
41312,1
41313,0
41314,1
41315,1
41316,1
41317,0
41318,0
41319,1
41320,1
41321,0
41322,1
41323,1
41324,1
41325,1
41326,1
41327,1
41328,1
41329,0
41330,1
41331,0
41332,1
41333,1
41334,1
41335,1
41336,1
41337,1
41338,0
41339,1
41340,1
41341,1
41342,0
41343,1
41344,1
41345,0
41346,1
41347,1
41348,0
41349,1
41350,1
41351,1
41352,1
41353,1
41354,1
41355,1
41356,1
41357,1
41358,1
41359,1
41360,1
41361,0
41362,1
41363,1
41364,1
41365,1
41366,0
41367,1
41368,1
41369,0
41370,1
41371,1
41372,1
41373,1
41374,0
41375,1
41376,1
41377,1
41378,1
41379,1
41380,1
41381,1
41382,1
41383,1
41384,1
41385,1
41386,1
41387,1
41388,1
41389,1
41390,1
41391,1
41392,1
41393,1
41394,1
41395,1
41396,0
41397,1
41398,0
41399,1
41400,1
41401,1
41402,1
41403,0
41404,1
41405,0
41406,1
41407,1
41408,1
41409,1
41410,1
41411,1
41412,0
41413,1
41414,1
41415,1
41416,1
41417,1
41418,0
41419,1
41420,1
41421,1
41422,1
41423,0
41424,0
41425,1
41426,1
41427,0
41428,1
41429,1
41430,1
41431,1
41432,1
41433,1
41434,1
41435,1
41436,1
41437,1
41438,1
41439,1
41440,1
41441,1
41442,1
41443,1
41444,1
41445,0
41446,1
41447,1
41448,1
41449,1
41450,1
41451,1
41452,0
41453,0
41454,0
41455,1
41456,0
41457,1
41458,1
41459,1
41460,1
41461,1
41462,0
41463,0
41464,1
41465,1
41466,0
41467,1
41468,1
41469,1
41470,0
41471,0
41472,0
41473,1
41474,1
41475,0
41476,1
41477,1
41478,1
41479,1
41480,0
41481,1
41482,1
41483,0
41484,1
41485,1
41486,1
41487,1
41488,1
41489,1
41490,0
41491,1
41492,0
41493,1
41494,0
41495,1
41496,1
41497,1
41498,1
41499,1
41500,1
41501,1
41502,1
41503,1
41504,1
41505,0
41506,0
41507,1
41508,0
41509,0
41510,0
41511,1
41512,1
41513,1
41514,1
41515,0
41516,0
41517,1
41518,1
41519,1
41520,1
41521,0
41522,1
41523,1
41524,1
41525,1
41526,1
41527,1
41528,1
41529,1
41530,0
41531,0
41532,1
41533,1
41534,1
41535,0
41536,0
41537,1
41538,1
41539,0
41540,0
41541,1
41542,1
41543,1
41544,1
41545,1
41546,1
41547,1
41548,1
41549,1
41550,0
41551,0
41552,1
41553,1
41554,1
41555,0
41556,1
41557,0
41558,1
41559,0
41560,1
41561,1
41562,1
41563,1
41564,1
41565,1
41566,1
41567,1
41568,1
41569,1
41570,1
41571,0
41572,1
41573,1
41574,1
41575,1
41576,1
41577,1
41578,1
41579,1
41580,1
41581,1
41582,1
41583,1
41584,1
41585,1
41586,1
41587,1
41588,1
41589,1
41590,1
41591,1
41592,1
41593,1
41594,1
41595,1
41596,1
41597,1
41598,1
41599,1
41600,1
41601,1
41602,0
41603,1
41604,1
41605,1
41606,0
41607,1
41608,0
41609,1
41610,1
41611,0
41612,1
41613,1
41614,0
41615,1
41616,1
41617,1
41618,1
41619,0
41620,0
41621,1
41622,0
41623,1
41624,1
41625,1
41626,0
41627,1
41628,1
41629,1
41630,1
41631,1
41632,0
41633,1
41634,1
41635,0
41636,1
41637,0
41638,1
41639,0
41640,1
41641,0
41642,1
41643,1
41644,1
41645,0
41646,1
41647,1
41648,0
41649,1
41650,1
41651,1
41652,1
41653,1
41654,1
41655,1
41656,1
41657,1
41658,0
41659,1
41660,1
41661,1
41662,0
41663,1
41664,0
41665,1
41666,1
41667,1
41668,1
41669,1
41670,1
41671,0
41672,1
41673,1
41674,1
41675,0
41676,0
41677,1
41678,1
41679,1
41680,1
41681,1
41682,1
41683,0
41684,1
41685,0
41686,1
41687,1
41688,1
41689,1
41690,1
41691,1
41692,1
41693,1
41694,1
41695,0
41696,1
41697,1
41698,1
41699,1
41700,1
41701,1
41702,1
41703,1
41704,1
41705,1
41706,1
41707,1
41708,0
41709,1
41710,1
41711,1
41712,0
41713,1
41714,1
41715,0
41716,1
41717,1
41718,1
41719,1
41720,1
41721,1
41722,1
41723,0
41724,1
41725,1
41726,1
41727,1
41728,0
41729,1
41730,1
41731,1
41732,1
41733,1
41734,1
41735,1
41736,1
41737,0
41738,1
41739,0
41740,1
41741,1
41742,1
41743,1
41744,1
41745,1
41746,0
41747,0
41748,1
41749,1
41750,1
41751,1
41752,1
41753,1
41754,1
41755,1
41756,1
41757,1
41758,1
41759,0
41760,0
41761,1
41762,0
41763,1
41764,1
41765,1
41766,1
41767,1
41768,0
41769,0
41770,1
41771,0
41772,0
41773,0
41774,0
41775,1
41776,1
41777,0
41778,1
41779,1
41780,1
41781,1
41782,1
41783,1
41784,1
41785,1
41786,1
41787,1
41788,1
41789,1
41790,0
41791,0
41792,1
41793,1
41794,0
41795,1
41796,1
41797,0
41798,1
41799,1
41800,1
41801,1
41802,1
41803,0
41804,1
41805,0
41806,1
41807,1
41808,0
41809,0
41810,1
41811,1
41812,1
41813,1
41814,1
41815,1
41816,1
41817,1
41818,0
41819,1
41820,1
41821,1
41822,1
41823,1
41824,1
41825,1
41826,0
41827,0
41828,1
41829,1
41830,0
41831,0
41832,1
41833,1
41834,1
41835,1
41836,1
41837,1
41838,1
41839,0
41840,1
41841,1
41842,0
41843,1
41844,1
41845,1
41846,1
41847,0
41848,1
41849,0
41850,1
41851,1
41852,1
41853,1
41854,1
41855,0
41856,1
41857,1
41858,0
41859,1
41860,1
41861,1
41862,1
41863,1
41864,0
41865,1
41866,1
41867,1
41868,1
41869,1
41870,1
41871,1
41872,0
41873,0
41874,1
41875,1
41876,1
41877,1
41878,0
41879,0
41880,0
41881,1
41882,0
41883,1
41884,1
41885,1
41886,1
41887,0
41888,1
41889,0
41890,0
41891,1
41892,0
41893,1
41894,1
41895,1
41896,1
41897,0
41898,0
41899,1
41900,1
41901,1
41902,0
41903,0
41904,1
41905,1
41906,1
41907,1
41908,1
41909,1
41910,0
41911,1
41912,1
41913,1
41914,1
41915,1
41916,1
41917,1
41918,1
41919,1
41920,1
41921,1
